COMENTARIO;ID
porque el servicio de internet no tiene buena cobertura en mi casa.  y es un servicio con costo elevado.;1833t4xmmb3dyeb1
Porque es muy bueno pero lo que pasa es que se va la señal aveces mucho;2jze9rs4zjrq75tj
Tiene algunas falencias pero en lo general, bien;6h74fzn5z46h1enb
La. Señal no es buena en ocasiones;75tnmr6tk4qkmzvc
Su cobertura de canales es buena y la velocidad de el Internet es rápida;7n17t0k0mhv7tnxq
Porque ha demostrado un buena atención y preocupación por el buen servicio ofrecido a sus clientes;7raft1ejqv4q6gh2
Porque me gusta mucho, me han cumplido y tengo buena señal;85k4gp2tcanvfcjf
porque dan una factura por servicio, pero la van subiendo paulatinamente, sin uno poder ENTERARSE, EL PORQUE?;86dwede1wemfakam
Por que muchos herrores a la hora de pagar las facturas;8f0nyu2yhwhwtwa7
He tenido inconvenientes en la facturación;8r16pvrw3spy48ef
Porque es muy buena la velocidad del internet;8vs34z92x2v97ysj
Buen servicio de internet, pero algo caro frente a la competencia;9k2hmz6muxuz5b5n
Estoy comenzando con esta señal satelital.;adnwh3a3f8sg3xhf
No he tenido problema con el servicio pero si con un traslado de domicilio del servicio que solicite.;bxt95red6ymveydu
Porque suelen aprovecharse y cobrar más;c8txvvwptwf49bbj
Sus internet hogar sufre caídas constantes y frecuentes;cqneddp889dbdfqa
Porque la señal de internet se cae mucho;curxnrba10180vb5
Porque ofrece buen servicio de señal;dtgw6s1p0nuwhnpb
Es muy buena tiene buena cobertura en Internet;exmgr3vetvct6563
Porque existen otras empresas que prestan mejor servicio y con fibra optica;f73zmhz113nn615c
Buen servicio, estabilidad en el internet, buen precio pero equipos desactualizamos (router).;g9h6q9p5u1quyk9u
Porque presenta fallas en el servicio de internet;kd5gcs98ksxw9j8v
Es la mejor compañia y con el mejor servicio;kpxqc8vj09ztcpnn
Me parecio bueno el servicio para el hogar;m3ccaemjncrpth4y
Es muy buena pero a veces falla la señal por eso le doy un nueve;mg6afqyq08cqjzdb
Tmes buena con el interne y la parabólica solo q los decodificadores ya es tiempo q le hagan algo;n2u5w427v8hy9ztz
Porque el servicio de internet es aceptable, constante y a buen precio;nw4n0h222u1ucm0v
Por que aveces el Internet es regular;rxtbc4whe93djxxq
Porque estan bajando la calidad del servicio al cliente;s6hpu3bhs8u65c1p
Es buena empresa para tener internet;s75aa4175gn84ff3
Porque su servicio se cae demasiado.;swr4mh3r0dyfadr8
La señal se pixela muy frecuentemente;tbrmh4v1psvafx07
La señal de internet es muy lenta cuando hay lluvias, mal servicio al cliente;u4ee7jh77417sg6w
es mi operador y proveedor de confianza, brinda atención rápida y servicio de buena calidad;vq11m5ucwf3zm0d2
Es excelente en todos los aspectos;waztm267m1c41zge
La atención es muy mala y los precios muy costosos;wp5x9ywb9kf49b75
Porq es lo mejor en telefonía y wifi para el hogar..;x5j5guuk4wp2vkwq
Muy lento el internet se cae mucho;xt5czq58qp605tjp
Porque muchas veces la señal falla;z321ftmp2wjgyfzq
Un servicio bueno pero lo os costos son muy elevados;zats1v2tm1yu39p3
